checkpoint_name,training_step,population,measure,pearson_r,pearson_p
trained_model_checkpoint_580.pkl,580,Kids_II,RT,0.7960868879698568,3.2210012540090334e-22
trained_model_checkpoint_590.pkl,590,Kids_II,RT,0.7925609781211387,6.602008708987045e-22
trained_model_checkpoint_600.pkl,600,Kids_II,RT,0.7966283023106624,2.88130399305318e-22
trained_model_checkpoint_610.pkl,610,Kids_II,RT,0.7874235135700107,1.833111368074166e-21
trained_model_checkpoint_620.pkl,620,Kids_II,RT,0.7751563407722597,1.8809912175897464e-20
trained_model_checkpoint_630.pkl,630,Kids_II,RT,0.7806998525855142,6.690793820612745e-21
trained_model_checkpoint_640.pkl,640,Kids_II,RT,0.7645223449414494,1.261199442715976e-19
trained_model_checkpoint_650.pkl,650,Kids_II,RT,0.756584039885932,4.8965680988925605e-19
trained_model_checkpoint_660.pkl,660,Kids_II,RT,0.7513279619300952,1.1687073965149677e-18
trained_model_checkpoint_670.pkl,670,Kids_II,RT,0.7470687170700386,2.3282908699226457e-18
trained_model_checkpoint_680.pkl,680,Kids_II,RT,0.7388170597050119,8.517960904016782e-18
trained_model_checkpoint_690.pkl,690,Kids_II,RT,0.7333228975971173,1.966904764603693e-17
trained_model_checkpoint_700.pkl,700,Kids_II,RT,0.7195417960548514,1.469766121411448e-16
trained_model_checkpoint_710.pkl,710,Kids_II,RT,0.7195841202397204,1.4609840439990711e-16
trained_model_checkpoint_720.pkl,720,Kids_II,RT,0.7133904691195845,3.4716719198273763e-16
trained_model_checkpoint_730.pkl,730,Kids_II,RT,0.7152140836870893,2.697098957539599e-16
trained_model_checkpoint_740.pkl,740,Kids_II,RT,0.7008719506002111,1.8658035275552027e-15
trained_model_checkpoint_750.pkl,750,Kids_II,RT,0.6924242163533485,5.530320890288191e-15
trained_model_checkpoint_760.pkl,760,Kids_II,RT,0.6831252391637779,1.7534145256827107e-14
trained_model_checkpoint_770.pkl,770,Kids_II,RT,0.6774299727028188,3.4816826350360265e-14
trained_model_checkpoint_780.pkl,780,Kids_II,RT,0.6743048391620735,5.0402254750057415e-14
trained_model_checkpoint_790.pkl,790,Kids_II,RT,0.6683512438977361,1.0073367829732644e-13
trained_model_checkpoint_800.pkl,800,Kids_II,RT,0.670557715040186,7.807811094370057e-14
trained_model_checkpoint_400.pkl,400,Adults,zRT,0.7160277538342852,2.408242848404325e-16
trained_model_checkpoint_410.pkl,410,Adults,zRT,0.7301065814013198,3.179939071222617e-17
trained_model_checkpoint_420.pkl,420,Adults,zRT,0.7241494071342351,7.604575186121622e-17
trained_model_checkpoint_430.pkl,430,Adults,zRT,0.7377830410124337,9.986890141121457e-18
trained_model_checkpoint_440.pkl,440,Adults,zRT,0.7268602770516713,5.1285689920271e-17
trained_model_checkpoint_450.pkl,450,Adults,zRT,0.7331066375295918,2.0319168996844738e-17
trained_model_checkpoint_460.pkl,460,Adults,zRT,0.7488526027550062,1.7474238164205725e-18
trained_model_checkpoint_470.pkl,470,Adults,zRT,0.7309566252430975,2.8026514587105304e-17
trained_model_checkpoint_480.pkl,480,Adults,zRT,0.7304559164355898,3.0192759669717627e-17
trained_model_checkpoint_490.pkl,490,Adults,zRT,0.7322003386895362,2.327781003707615e-17
trained_model_checkpoint_500.pkl,500,Adults,zRT,0.7261571558062809,5.682833370804755e-17
trained_model_checkpoint_510.pkl,510,Adults,zRT,0.7286609086297213,3.937562585966722e-17
trained_model_checkpoint_520.pkl,520,Adults,zRT,0.737897456071972,9.812979088191556e-18
trained_model_checkpoint_530.pkl,530,Adults,zRT,0.7431809033887425,4.31630111002994e-18
trained_model_checkpoint_540.pkl,540,Adults,zRT,0.7327220746274969,2.152710252718957e-17
trained_model_checkpoint_550.pkl,550,Adults,zRT,0.7279379414828719,4.3794310610744623e-17
trained_model_checkpoint_560.pkl,560,Adults,zRT,0.7437014000470805,3.976507364031468e-18
trained_model_checkpoint_570.pkl,570,Adults,zRT,0.7359317926370471,1.3253361082332221e-17
trained_model_checkpoint_580.pkl,580,Adults,zRT,0.7496350770657979,1.5395620090010881e-18
trained_model_checkpoint_590.pkl,590,Adults,zRT,0.746351545480071,2.6112787813672906e-18
trained_model_checkpoint_600.pkl,600,Adults,zRT,0.7522240901341359,1.0091556561071724e-18
trained_model_checkpoint_610.pkl,610,Adults,zRT,0.7478931748679549,2.0396812851473748e-18
trained_model_checkpoint_620.pkl,620,Adults,zRT,0.7334587215573447,1.927109983600301e-17
trained_model_checkpoint_630.pkl,630,Adults,zRT,0.7437128119854423,3.969356259033749e-18
trained_model_checkpoint_640.pkl,640,Adults,zRT,0.7339042347407516,1.801987534604201e-17
trained_model_checkpoint_650.pkl,650,Adults,zRT,0.7252481069703423,6.486089366840523e-17
trained_model_checkpoint_660.pkl,660,Adults,zRT,0.7278456530081447,4.439186246853226e-17
trained_model_checkpoint_670.pkl,670,Adults,zRT,0.722311353534947,9.906544621092896e-17
