checkpoint_name,training_step,population,measure,epsilon,pearson_r,pearson_p
trained_model_checkpoint_650.pkl,650,Adults,zRT,8.5,0.7301661658742357,3.1519609182897e-17
trained_model_checkpoint_660.pkl,660,Adults,zRT,9.0,0.729069044059603,3.7075449748132986e-17
trained_model_checkpoint_670.pkl,670,Adults,zRT,8.5,0.7301661658742357,3.1519609182897e-17
trained_model_checkpoint_680.pkl,680,Adults,zRT,9.0,0.729069044059603,3.7075449748132986e-17
trained_model_checkpoint_690.pkl,690,Adults,zRT,9.0,0.729069044059603,3.7075449748132986e-17
trained_model_checkpoint_700.pkl,700,Adults,zRT,9.0,0.7273651801493786,4.7632860907364693e-17
trained_model_checkpoint_710.pkl,710,Adults,zRT,9.0,0.7273651801493786,4.7632860907364693e-17
trained_model_checkpoint_720.pkl,720,Adults,zRT,10.0,0.7239183759529608,7.862509506904544e-17
trained_model_checkpoint_730.pkl,730,Adults,zRT,10.0,0.7239183759529608,7.862509506904544e-17
trained_model_checkpoint_740.pkl,740,Adults,zRT,10.0,0.7372851819990849,1.077909430043872e-17
trained_model_checkpoint_750.pkl,750,Adults,zRT,10.0,0.7372851819990849,1.077909430043872e-17
trained_model_checkpoint_760.pkl,760,Adults,zRT,10.0,0.7306623977255005,2.9280455622470736e-17
trained_model_checkpoint_770.pkl,770,Adults,zRT,10.0,0.7266990920310246,5.25079934632518e-17
trained_model_checkpoint_780.pkl,780,Adults,zRT,10.0,0.7301661658742357,3.1519609182897e-17
trained_model_checkpoint_790.pkl,790,Adults,zRT,10.0,0.7301661658742357,3.1519609182897e-17
trained_model_checkpoint_800.pkl,800,Adults,zRT,10.0,0.7324375582538731,2.246533012216407e-17
trained_model_checkpoint_400.pkl,400,Kids_II,zRT,3.5,0.7868610909844391,2.046437485762924e-21
trained_model_checkpoint_410.pkl,410,Kids_II,zRT,3.5,0.7868610909844391,2.046437485762924e-21
trained_model_checkpoint_420.pkl,420,Kids_II,zRT,3.5,0.7789692754716826,9.268458432928328e-21
trained_model_checkpoint_430.pkl,430,Kids_II,zRT,4.0,0.7998380032247896,1.4777943210101885e-22
trained_model_checkpoint_440.pkl,440,Kids_II,zRT,4.0,0.7959937114436573,3.2832659591632373e-22
trained_model_checkpoint_450.pkl,450,Kids_II,zRT,4.0,0.7884715049030472,1.4918187595865486e-21
trained_model_checkpoint_460.pkl,460,Kids_II,zRT,4.0,0.8195977252715608,1.8224433184544284e-24
trained_model_checkpoint_470.pkl,470,Kids_II,zRT,4.0,0.7970029778792104,2.6669071267266825e-22
trained_model_checkpoint_480.pkl,480,Kids_II,zRT,4.0,0.796487988427135,2.965835069843187e-22
trained_model_checkpoint_490.pkl,490,Kids_II,zRT,4.0,0.798892607684073,1.8012256518045396e-22
trained_model_checkpoint_500.pkl,500,Kids_II,zRT,4.0,0.798892607684073,1.8012256518045396e-22
trained_model_checkpoint_510.pkl,510,Kids_II,zRT,4.0,0.7844661469385614,3.258231694506429e-21
trained_model_checkpoint_520.pkl,520,Kids_II,zRT,4.0,0.7916520377256866,7.9259135763384865e-22
trained_model_checkpoint_530.pkl,530,Kids_II,zRT,4.0,0.7888973261879184,1.3715659212636553e-21
trained_model_checkpoint_540.pkl,540,Kids_II,zRT,4.0,0.7600692348551812,2.716800996187789e-19
trained_model_checkpoint_550.pkl,550,Kids_II,zRT,4.0,0.7600692348551812,2.716800996187789e-19
trained_model_checkpoint_560.pkl,560,Kids_II,zRT,4.0,0.7600692348551812,2.716800996187789e-19
trained_model_checkpoint_570.pkl,570,Kids_II,zRT,5.5,0.7515923038277367,1.1192562302703666e-18
trained_model_checkpoint_580.pkl,580,Kids_II,zRT,5.5,0.7781464294304489,1.0810733946380288e-20
trained_model_checkpoint_590.pkl,590,Kids_II,zRT,8.5,0.7834600479899714,3.954293523584068e-21
trained_model_checkpoint_600.pkl,600,Kids_II,zRT,8.5,0.7834600479899714,3.954293523584068e-21
trained_model_checkpoint_610.pkl,610,Kids_II,zRT,8.5,0.7834600479899714,3.954293523584068e-21
trained_model_checkpoint_620.pkl,620,Kids_II,zRT,8.5,0.7884264551765956,1.5051251318769405e-21
trained_model_checkpoint_630.pkl,630,Kids_II,zRT,8.5,0.7905687164828946,9.843216694069604e-22
trained_model_checkpoint_640.pkl,640,Kids_II,zRT,8.5,0.7766426404059128,1.42984248204018e-20
trained_model_checkpoint_650.pkl,650,Kids_II,zRT,8.5,0.7765363286267496,1.4582680332291938e-20
trained_model_checkpoint_660.pkl,660,Kids_II,zRT,8.5,0.7766426404059128,1.42984248204018e-20
trained_model_checkpoint_670.pkl,670,Kids_II,zRT,8.5,0.7765363286267496,1.4582680332291938e-20
trained_model_checkpoint_680.pkl,680,Kids_II,zRT,8.5,0.7606051936068645,2.479304743393583e-19
trained_model_checkpoint_690.pkl,690,Kids_II,zRT,10.0,0.7508449712739294,1.264596940764029e-18
trained_model_checkpoint_700.pkl,700,Kids_II,zRT,10.0,0.7565284732222723,4.942377651540557e-19
trained_model_checkpoint_710.pkl,710,Kids_II,zRT,10.0,0.7834600479899714,3.954293523584068e-21
trained_model_checkpoint_720.pkl,720,Kids_II,zRT,10.0,0.7834600479899714,3.954293523584068e-21
trained_model_checkpoint_730.pkl,730,Kids_II,zRT,10.0,0.7834600479899714,3.954293523584068e-21
trained_model_checkpoint_740.pkl,740,Kids_II,zRT,10.0,0.7905687164828946,9.843216694069604e-22
trained_model_checkpoint_750.pkl,750,Kids_II,zRT,10.0,0.7905687164828946,9.843216694069604e-22
trained_model_checkpoint_760.pkl,760,Kids_II,zRT,10.0,0.7884264551765956,1.5051251318769405e-21
trained_model_checkpoint_770.pkl,770,Kids_II,zRT,10.0,0.7766426404059128,1.42984248204018e-20
trained_model_checkpoint_780.pkl,780,Kids_II,zRT,10.0,0.7765363286267496,1.4582680332291938e-20
trained_model_checkpoint_790.pkl,790,Kids_II,zRT,10.0,0.7765363286267496,1.4582680332291938e-20
trained_model_checkpoint_800.pkl,800,Kids_II,zRT,10.0,0.7642127947068234,1.3310288225942948e-19
