checkpoint_name,n_total_inits,population,measure,pearson_r,pearson_p,spearman_rho,spearman_p
trained_model_checkpoint_260.pkl,21,Kids_II,zRT,0.7912304011550353,8.624522100500447e-22,0.819107782579066,2.0453568339983443e-24
trained_model_checkpoint_260.pkl,21,Kids_II,ER,0.1557418408220123,0.1297154503278031,0.1064251611428636,0.3020607477660699
trained_model_checkpoint_260.pkl,21,Adults,RT,0.6930971076235145,5.078733097687159e-15,0.7359306250818387,1.3255716714426757e-17
trained_model_checkpoint_260.pkl,21,Adults,zRT,0.7061419846835741,9.291133306469397e-16,0.749299482673155,1.6255911068405923e-18
trained_model_checkpoint_260.pkl,21,Adults,ER,0.1905527623924389,0.0629351523201967,0.2385321482036204,0.0192629168040638
trained_model_checkpoint_270.pkl,21,Kids_II,RT,0.7959882948255084,3.2869213781382644e-22,0.8221082428032532,1.003363312976174e-24
trained_model_checkpoint_270.pkl,21,Kids_II,zRT,0.8015925805494248,1.0206259461946072e-22,0.8239346179817568,6.46138742166828e-25
trained_model_checkpoint_270.pkl,21,Kids_II,ER,0.1651024989239761,0.1079382271156074,0.1188915435696334,0.2486099069256952
trained_model_checkpoint_270.pkl,21,Adults,RT,0.7112492097259083,4.657984091323164e-16,0.7471447762069156,2.300086896484529e-18
trained_model_checkpoint_270.pkl,21,Adults,zRT,0.7238123928063991,7.983653780747093e-17,0.7595258214244874,2.9801121121253284e-19
trained_model_checkpoint_270.pkl,21,Adults,ER,0.196819359032707,0.0546043206607706,0.2402521433588997,0.018384099415238
trained_model_checkpoint_280.pkl,21,Kids_II,RT,0.8023120937288875,8.759568065575459e-23,0.8272329993031892,2.880727971633041e-25
trained_model_checkpoint_280.pkl,21,Kids_II,zRT,0.8076416908398409,2.767692033044756e-23,0.8295067241698285,1.6342294263648534e-25
trained_model_checkpoint_280.pkl,21,Kids_II,ER,0.1700877533645282,0.097564345572848,0.1284032361813798,0.2124790418330342
trained_model_checkpoint_280.pkl,21,Adults,RT,0.7109110417123304,4.878131569090593e-16,0.7432212552817746,4.28898084927603e-18
trained_model_checkpoint_280.pkl,21,Adults,zRT,0.7247325459019093,6.98949068969261e-17,0.7578195248459638,3.978259727997054e-19
trained_model_checkpoint_280.pkl,21,Adults,ER,0.2019829510849496,0.0484400695913916,0.2487451427353643,0.0145330608898728
trained_model_checkpoint_290.pkl,21,Kids_II,RT,0.7941523147231064,4.783606429965442e-22,0.8221873649291734,9.845171345957452e-25
trained_model_checkpoint_290.pkl,21,Kids_II,zRT,0.7985953147163881,1.9164748893299445e-22,0.8271150154681498,2.966053358275315e-25
trained_model_checkpoint_290.pkl,21,Kids_II,ER,0.1595940789202172,0.1203787750512422,0.1150088858335952,0.2645084976579401
trained_model_checkpoint_290.pkl,21,Adults,RT,0.7023316802155043,1.540481742233262e-15,0.7380487557262643,9.58751042760378e-18
trained_model_checkpoint_290.pkl,21,Adults,zRT,0.7165854869428199,2.2278153108606708e-16,0.752463157302882,9.702996094208337e-19
trained_model_checkpoint_290.pkl,21,Adults,ER,0.1913323817798664,0.0618455652847778,0.2305567256386356,0.0238254508347458
trained_model_checkpoint_300.pkl,21,Kids_II,RT,0.7983329768365142,2.024108649422071e-22,0.8060249770624711,3.940354369163503e-23
trained_model_checkpoint_300.pkl,21,Kids_II,zRT,0.8017819079473296,9.804494775275736e-23,0.807809110440583,2.667765897655506e-23
trained_model_checkpoint_300.pkl,21,Kids_II,ER,0.1729938616668011,0.0918889160723768,0.1149786669976118,0.2646348810577181
trained_model_checkpoint_300.pkl,21,Adults,RT,0.6937105269571383,4.6983155342061616e-15,0.7060861648479287,9.36075325271899e-16
trained_model_checkpoint_300.pkl,21,Adults,zRT,0.7123783865752983,3.990454127122246e-16,0.7241325714311293,7.623090798587291e-17
trained_model_checkpoint_300.pkl,21,Adults,ER,0.1906528629191803,0.062794385354593,0.2354901370301001,0.0209057898889371
trained_model_checkpoint_310.pkl,21,Kids_II,RT,0.788822647301342,1.391950773435915e-21,0.8050666594055657,4.850613458564266e-23
trained_model_checkpoint_310.pkl,21,Kids_II,zRT,0.792023148957656,7.3568131786382915e-22,0.8077985929263483,2.673938632010203e-23
trained_model_checkpoint_310.pkl,21,Kids_II,ER,0.1704583086617909,0.0968257053694015,0.123041162351724,0.232358968105678
trained_model_checkpoint_310.pkl,21,Adults,RT,0.6928289844126351,5.2542246251379524e-15,0.7096607110260421,5.78306192259502e-16
trained_model_checkpoint_310.pkl,21,Adults,zRT,0.7083537561140654,6.90230457654192e-16,0.7264484425112501,5.446504608540914e-17
trained_model_checkpoint_310.pkl,21,Adults,ER,0.2110843197274841,0.0389773729617329,0.245178949676956,0.0160553168940804
trained_model_checkpoint_320.pkl,21,Kids_II,RT,0.7876058098215202,1.7687296277080957e-21,0.8153848739139669,4.860693213911002e-24
trained_model_checkpoint_320.pkl,21,Kids_II,zRT,0.7881072606906296,1.6027687569148845e-21,0.8131405889710005,8.114285071158268e-24
trained_model_checkpoint_320.pkl,21,Kids_II,ER,0.1617684775963671,0.1153422120201984,0.1226478135499619,0.2338667984529092
trained_model_checkpoint_320.pkl,21,Adults,RT,0.6840033148686313,1.5752717315949697e-14,0.7087165345426515,6.572166954815736e-16
trained_model_checkpoint_320.pkl,21,Adults,zRT,0.7000347309442634,2.0814428110212014e-15,0.7265957772037895,5.330626230801785e-17
trained_model_checkpoint_320.pkl,21,Adults,ER,0.2221281926262637,0.0296192852046954,0.2716019903365222,0.0074328670102586
trained_model_checkpoint_330.pkl,21,Kids_II,RT,0.7924079875712913,6.808691611667218e-22,0.8126536706070855,9.060247909121677e-24
trained_model_checkpoint_330.pkl,21,Kids_II,zRT,0.7927612537045943,6.340650545291874e-22,0.8126536706070855,9.060247909121677e-24
trained_model_checkpoint_330.pkl,21,Kids_II,ER,0.1595780407959496,0.1204165435114019,0.104085543864443,0.3128734368584495
trained_model_checkpoint_330.pkl,21,Adults,RT,0.6933119333939045,4.942233055484531e-15,0.7119356299040936,4.2403391068054384e-16
trained_model_checkpoint_330.pkl,21,Adults,zRT,0.7071670174664386,8.098385474573907e-16,0.727051528908732,4.987115597654417e-17
trained_model_checkpoint_330.pkl,21,Adults,ER,0.2262296248143737,0.0266660823865078,0.2571720623457155,0.0114241222276452
trained_model_checkpoint_340.pkl,21,Kids_II,RT,0.811142804541546,1.2730783171202163e-23,0.8195788156065102,1.830589919994345e-24
trained_model_checkpoint_340.pkl,21,Kids_II,zRT,0.8119008893493997,1.0737534087729321e-23,0.816889321970988,3.434085438009975e-24
trained_model_checkpoint_340.pkl,21,Kids_II,ER,0.18196099418033,0.0760075498385859,0.1222205019371622,0.2355125364885165
trained_model_checkpoint_340.pkl,21,Adults,RT,0.7090416085142649,6.289378377393168e-16,0.7157329610958548,2.509250342519145e-16
