checkpoint_name,epsilon,n_inits,population,measure,pearson_r,pearson_p,spearman_rho,spearman_p
trained_model_checkpoint_20.pkl,0.5,1,Kids_II,ER,-0.0129180238545412,0.9005888994417024,-0.0609359846151108,0.5553410285315744
trained_model_checkpoint_20.pkl,0.5,1,Adults,RT,-0.0304508488926055,0.7683635225717677,-0.0224094206091044,0.8284284547183398
trained_model_checkpoint_20.pkl,0.5,1,Adults,zRT,-0.0053648784282126,0.9586269798517446,-0.0036144226788878,0.9721194767040812
trained_model_checkpoint_20.pkl,0.5,1,Adults,ER,0.0012181737967184,0.9906017207888792,-0.0113330586767614,0.9127347261250192
trained_model_checkpoint_20.pkl,1.0,1,Kids_II,RT,0.2337410569747886,0.0219037298419815,0.2405143030485217,0.0182532308673453
trained_model_checkpoint_20.pkl,1.0,1,Kids_II,zRT,0.224574544864762,0.0278262305728667,0.2250388519140323,0.0274965270148793
trained_model_checkpoint_20.pkl,1.0,1,Kids_II,ER,0.0483958937820068,0.6396101283724408,0.0213290532148939,0.836582286785367
trained_model_checkpoint_20.pkl,1.0,1,Adults,RT,0.0776241066733257,0.4522133551873986,0.0973663800544953,0.3453026582205243
trained_model_checkpoint_20.pkl,1.0,1,Adults,zRT,0.1023765040125164,0.3209284252313888,0.1115522102611106,0.2792312978023716
trained_model_checkpoint_20.pkl,1.0,1,Adults,ER,0.0510705169230545,0.6211969487925075,0.0491010926545733,0.6347334010055596
trained_model_checkpoint_20.pkl,1.5,1,Kids_II,RT,0.1226468981012774,0.2338703155968572,0.12941919378736,0.2088528805085769
trained_model_checkpoint_20.pkl,1.5,1,Kids_II,zRT,0.1175999439817389,0.253824006251224,0.1361862104559802,0.185821772612553
trained_model_checkpoint_20.pkl,1.5,1,Kids_II,ER,-0.0107970812990512,0.9168466857529826,-0.011733522729296,0.9096639035845526
trained_model_checkpoint_20.pkl,1.5,1,Adults,RT,0.1242696881950242,0.2276933968107278,0.1074263896143446,0.297509182372473
trained_model_checkpoint_20.pkl,1.5,1,Adults,zRT,0.1049276731322905,0.3089529490696756,0.0938923562771043,0.3628674759393793
trained_model_checkpoint_20.pkl,1.5,1,Adults,ER,0.0726972118235527,0.4815038549006563,0.0483089505110461,0.6402124432822889
trained_model_checkpoint_20.pkl,2.0,1,Kids_II,RT,-0.0969955892214383,0.3471515459605681,-0.079984730211248,0.4385385387143721
trained_model_checkpoint_20.pkl,2.0,1,Kids_II,zRT,-0.1040080719882124,0.3132357150503562,-0.079984730211248,0.4385385387143721
trained_model_checkpoint_20.pkl,2.0,1,Kids_II,ER,0.1953948982961308,0.0564137781064029,0.215335376030949,0.0351180410379696
trained_model_checkpoint_20.pkl,2.0,1,Adults,RT,-0.00422232270308,0.9674327051283872,-0.0406076322610951,0.6944508919801288
trained_model_checkpoint_20.pkl,2.0,1,Adults,zRT,-0.0179999457470943,0.861813161631122,-0.044299235193922,0.6682384778107668
trained_model_checkpoint_20.pkl,2.0,1,Adults,ER,0.2052906838601772,0.0448022623712454,0.2294341881232048,0.0245363554274588
trained_model_checkpoint_20.pkl,2.5,1,Kids_II,RT,0.1497700466484331,0.1452692016378333,0.1626490205499514,0.1133496142959009
trained_model_checkpoint_20.pkl,2.5,1,Kids_II,zRT,0.1392972093426226,0.1758771187905826,0.1597574824068411,0.1199944931982676
trained_model_checkpoint_20.pkl,2.5,1,Kids_II,ER,-0.0837826118565963,0.4170363992090246,-0.1118445287239375,0.2779654341676658
trained_model_checkpoint_20.pkl,2.5,1,Adults,RT,0.1612851125462275,0.1164474916404818,0.1481913298344001,0.1496068694150125
trained_model_checkpoint_20.pkl,2.5,1,Adults,zRT,0.1569289257488815,0.1267811694071308,0.146745560762845,0.1536638908825108
trained_model_checkpoint_20.pkl,2.5,1,Adults,ER,0.0012181737967183,0.9906017207888808,-0.0453322347070457,0.6609726788232035
trained_model_checkpoint_20.pkl,3.0,1,Kids_II,RT,0.0486757834419923,0.63767273171448,0.0526373509031841,0.6105167270858207
trained_model_checkpoint_20.pkl,3.0,1,Kids_II,zRT,0.0281853640330221,0.7851640584618095,0.0368461456322288,0.7215343328738889
trained_model_checkpoint_20.pkl,3.0,1,Kids_II,ER,-0.0067188220144786,0.9481985907714452,-0.0533574955658208,0.605634953288447
trained_model_checkpoint_20.pkl,3.0,1,Adults,RT,-0.0313157804923979,0.7619769722703765,-0.0342142780870696,0.7406930869213513
trained_model_checkpoint_20.pkl,3.0,1,Adults,zRT,-0.0072533367502415,0.9440839384284532,-0.0078956026354776,0.9391417767781968
trained_model_checkpoint_20.pkl,3.0,1,Adults,ER,-0.039915985598558,0.6994033685905214,-0.0442084669757956,0.6688783899024235
trained_model_checkpoint_20.pkl,3.5,1,Kids_II,RT,,,,
trained_model_checkpoint_20.pkl,3.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_20.pkl,3.5,1,Kids_II,ER,,,,
trained_model_checkpoint_20.pkl,3.5,1,Adults,RT,,,,
trained_model_checkpoint_20.pkl,3.5,1,Adults,zRT,,,,
trained_model_checkpoint_20.pkl,3.5,1,Adults,ER,,,,
trained_model_checkpoint_20.pkl,4.0,1,Kids_II,RT,,,,
trained_model_checkpoint_20.pkl,4.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_20.pkl,4.0,1,Kids_II,ER,,,,
trained_model_checkpoint_20.pkl,4.0,1,Adults,RT,,,,
trained_model_checkpoint_20.pkl,4.0,1,Adults,zRT,,,,
trained_model_checkpoint_20.pkl,4.0,1,Adults,ER,,,,
trained_model_checkpoint_20.pkl,4.5,1,Kids_II,RT,,,,
trained_model_checkpoint_20.pkl,4.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_20.pkl,4.5,1,Kids_II,ER,,,,
trained_model_checkpoint_20.pkl,4.5,1,Adults,RT,,,,
trained_model_checkpoint_20.pkl,4.5,1,Adults,zRT,,,,
trained_model_checkpoint_20.pkl,4.5,1,Adults,ER,,,,
trained_model_checkpoint_20.pkl,5.0,1,Kids_II,RT,,,,
trained_model_checkpoint_20.pkl,5.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_20.pkl,5.0,1,Kids_II,ER,,,,
trained_model_checkpoint_20.pkl,5.0,1,Adults,RT,,,,
trained_model_checkpoint_20.pkl,5.0,1,Adults,zRT,,,,
trained_model_checkpoint_20.pkl,5.0,1,Adults,ER,,,,
trained_model_checkpoint_20.pkl,5.5,1,Kids_II,RT,0.0469166753036722,0.6498892346890769,0.0536845296980713,0.603423722127139
trained_model_checkpoint_20.pkl,5.5,1,Kids_II,zRT,0.029874303180361,0.7726293054344466,0.0351726229056329,0.7336977402929603
trained_model_checkpoint_20.pkl,5.5,1,Kids_II,ER,0.0860105353518734,0.4047127809683486,0.1086404740128661,0.2920507957212477
trained_model_checkpoint_20.pkl,5.5,1,Adults,RT,0.0750461534558859,0.4674142115641092,0.0796011992074851,0.4407442431341641
trained_model_checkpoint_20.pkl,5.5,1,Adults,zRT,0.0761270527318992,0.4610070224149943,0.0796011992074851,0.4407442431341641
trained_model_checkpoint_20.pkl,5.5,1,Adults,ER,0.0717495712402316,0.4872517899894939,0.0849933953692785,0.4103122272033954
trained_model_checkpoint_20.pkl,6.0,1,Kids_II,RT,,,,
trained_model_checkpoint_20.pkl,6.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_20.pkl,6.0,1,Kids_II,ER,,,,
trained_model_checkpoint_20.pkl,6.0,1,Adults,RT,,,,
